,fid_loss,solution,norms
88,0.88,"[array([-0.76647056,  0.67322321, -0.06964863,  0.12926311,  0.02408688,
       -0.0099127 ,  0.02415117, -0.00537775])]",1.0312890638387842
89,0.89,"[array([-0.7664689 ,  0.67319291, -0.06960794,  0.12923323,  0.02409877,
       -0.00991498,  0.02416209, -0.00538064])]",1.0312621248076976
90,0.9,"[array([-0.76652061,  0.67288084, -0.06911506,  0.12887051,  0.02423482,
       -0.00993868,  0.02428547, -0.00541401])]",1.0310248151153734
91,0.91,"[array([-0.76643998,  0.67227606, -0.06834997,  0.12830669,  0.02445811,
       -0.00998074,  0.02449008, -0.00546795])]",1.030459672228373
92,0.92,"[array([-0.76642837,  0.67213734, -0.06816674,  0.12817137,  0.02451021,
       -0.00999005,  0.0245375 , -0.00548058])]",1.0303340873626823
93,0.93,"[array([-0.76644181,  0.67230415, -0.06838761,  0.12833448,  0.02444743,
       -0.00997883,  0.02448036, -0.00546536])]",1.0304848053079148
94,0.9400000000000001,"[array([-0.76646976,  0.67321128, -0.06963278,  0.12925147,  0.02409153,
       -0.00991359,  0.02415544, -0.00537888])]",1.0312783745693352
95,0.9500000000000001,"[array([-0.76644376,  0.67233369, -0.06842715,  0.12836367,  0.0244362 ,
       -0.00997682,  0.02447014, -0.00546264])]",1.030511246355674
96,0.96,"[array([-0.76644858,  0.67239537, -0.06850891,  0.128424  ,  0.02441287,
       -0.0099726 ,  0.02444887, -0.00545698])]",1.0305668934651446
97,0.97,"[array([-0.76644614,  0.67235802, -0.0684589 ,  0.1283871 ,  0.0244271 ,
       -0.00997516,  0.02446183, -0.00546043])]",1.0305334790329557
98,0.98,"[array([-0.76633517,  0.67262665, -0.06895535,  0.12875368,  0.02429814,
       -0.00995552,  0.02434674, -0.00542843])]",1.030698932694361
99,0.99,"[array([-0.76644656,  0.67236522, -0.0684686 ,  0.12839425,  0.02442434,
       -0.00997467,  0.02445933, -0.00545976])]",1.03053988428334
100,1.0,"[array([-0.76632306,  0.67212685, -0.06826459,  0.12824411,  0.02449324,
       -0.00999026,  0.02452421, -0.00547588])]",1.0302637014592966
