,fid_loss,solution,norms
74,0.74,"[array([ 0.2019187 , -0.16586822,  0.13335892, -0.05260232,  0.02905074,
        0.01305847,  0.00787344,  0.01509738])]",0.3002322811751037
75,0.75,"[array([ 0.20122482, -0.16532653,  0.13317129, -0.05244529,  0.02906798,
        0.01305713,  0.00793474,  0.01507605])]",0.2993577657742579
76,0.76,"[array([ 0.20198839, -0.16592315,  0.13337884, -0.05261695,  0.02904798,
        0.01305859,  0.00786791,  0.01509908])]",0.300320589216457
77,0.77,"[array([ 0.20091754, -0.16507822,  0.13307081, -0.05239392,  0.02909206,
        0.01305669,  0.00795203,  0.01507375])]",0.2989630722292268
78,0.78,"[array([ 0.20078164, -0.16497128,  0.13303232, -0.05236495,  0.02909707,
        0.01305643,  0.00796308,  0.01507027])]",0.2987910806640902
79,0.79,"[array([ 0.20096598, -0.16511668,  0.13308527, -0.05240348,  0.02908958,
        0.01305677,  0.00794851,  0.01507469])]",0.2990246878006007
80,0.8,"[array([ 0.20055435, -0.16479188,  0.13296679, -0.05231769,  0.02910652,
        0.01305601,  0.00798094,  0.01506491])]",0.2985029532106563
81,0.81,"[array([ 0.20062995, -0.16485162,  0.13298872, -0.05233327,  0.02910325,
        0.01305615,  0.00797507,  0.01506664])]",0.2985988493760889
82,0.82,"[array([ 0.20100292, -0.16514556,  0.13309532, -0.05241178,  0.02908861,
        0.01305684,  0.00794527,  0.0150758 ])]",0.2990712701764746
83,0.83,"[array([ 0.20180716, -0.16578023,  0.1333269 , -0.05257905,  0.02905528,
        0.01305828,  0.00788221,  0.01509473])]",0.300090887501059
84,0.84,"[array([ 0.20093638, -0.16509331,  0.13307671, -0.05239735,  0.02909084,
        0.01305672,  0.00795081,  0.015074  ])]",0.2989871502270922
85,0.85,"[array([ 0.20247065, -0.16630017,  0.13351035, -0.0527248 ,  0.02903488,
        0.01305948,  0.00782606,  0.01511337])]",0.300929004046139
86,0.86,"[array([ 0.20075016, -0.16494629,  0.13302295, -0.05235872,  0.02909866,
        0.01305638,  0.00796538,  0.01506965])]",0.2987510476556383
87,0.87,"[array([ 0.20215915, -0.1660575 ,  0.13342715, -0.05265332,  0.02904169,
        0.01305889,  0.00785408,  0.01510342])]",0.3005367641229855
88,0.88,"[array([ 0.20097139, -0.16512093,  0.13308677, -0.05240466,  0.02908941,
        0.01305678,  0.00794805,  0.01507484])]",0.2990315332139305
89,0.89,"[array([ 0.20089509, -0.16505413,  0.13305121, -0.05240301,  0.02910544,
        0.01305677,  0.00794629,  0.01507865])]",0.2989289562500127
90,0.9,"[array([ 0.20120446, -0.16530408,  0.13315227, -0.05245486,  0.02908129,
        0.01305722,  0.00792882,  0.01508101])]",0.2993262908974582
91,0.91,"[array([ 0.20163593, -0.16565357,  0.13329501, -0.05252517,  0.02904587,
        0.01305781,  0.00790557,  0.01508351])]",0.2998812837028608
92,0.92,"[array([ 0.20191493, -0.1658653 ,  0.13335796, -0.05260142,  0.02905078,
        0.01305846,  0.0078738 ,  0.01509725])]",0.3002275602140682
93,0.93,"[array([ 0.20087626, -0.16504591,  0.13305949, -0.05238474,  0.02909324,
        0.01305661,  0.00795559,  0.01507254])]",0.2989109851854838
94,0.94,"[array([ 0.20078847, -0.1649765 ,  0.13303393, -0.05236675,  0.02909713,
        0.01305645,  0.00796234,  0.01507058])]",0.2987995882593865
95,0.95,"[array([ 0.20121648, -0.16531229,  0.13315311, -0.05246011,  0.02908329,
        0.01305726,  0.00792638,  0.01508238])]",0.2993404012872455
96,0.96,"[array([ 0.20104561, -0.16517919,  0.1331075 , -0.05242078,  0.02908695,
        0.01305692,  0.00794185,  0.01507686])]",0.2991253414528013
97,0.97,"[array([ 0.20222857, -0.16611252,  0.13344763, -0.05266722,  0.02903834,
        0.01305901,  0.00784894,  0.01510484])]",0.3006250045985557
98,0.98,"[array([ 0.20192424, -0.16587743,  0.13337047, -0.05259302,  0.02904106,
        0.01305839,  0.0078787 ,  0.01509339])]",0.3002435961613403
99,0.99,"[array([ 0.20229365, -0.16616381,  0.13346623, -0.05268089,  0.02903577,
        0.01305912,  0.00784378,  0.01510642])]",0.3007074751622941
100,1.0,"[array([ 0.20073998, -0.16493871,  0.13302096, -0.05235561,  0.02909819,
        0.01305635,  0.00796672,  0.01506902])]",0.298738543466863
